"hamilton-federalist" "jay-federalist" "madison-federalist"
"can" 0.256619824760298 0.235072872590503 0.196320802733949
"these" 0.194222538602828 0.305594734367654 0.329625051503914
"upon" 0.328684296097094 0.0117536436295252 0.0169659952979956
"must" 0.232891279320133 0.152797367183827 0.239947647785938
"who" 0.226739434206016 0.41137752703338 0.189049661891951
"such" 0.208283898863666 0.376116596144805 0.218134225259943
"union" 0.218829919059295 0.258580159849553 0.186625948277951
"so" 0.196859043651735 0.340855665256229 0.215710511645944
"most" 0.190707198537619 0.305594734367654 0.225405366101941
"should" 0.200374383716945 0.317348377997179 0.181778521049953
"i" 0.236406619385343 0.0940291490362012 0.126033107927967
"new" 0.20213205374955 0.164551010813352 0.206015657189946
"national" 0.212678073945178 0.36436295251528 0.128456821541967
"same" 0.174009333227873 0.199811941701928 0.23025279332994
"his" 0.210041568896271 0.0587682181476258 0.138151675997964
"might" 0.197737878668038 0.0940291490362012 0.121185680699968
"every" 0.157311467918128 0.0587682181476258 0.227829079715941
"our" 0.167857488113756 0.446638457921956 0.118761967085969
"against" 0.146765447722499 0.176304654442877 0.227829079715941
"under" 0.145886612706197 0.235072872590503 0.186625948277951
"authority" 0.160826807983337 0.0117536436295252 0.186625948277951
"into" 0.132704087461661 0.282087447108604 0.19147337550595
"federal" 0.120400397233427 0.0470145745181006 0.26903221115393
"great" 0.144128942673592 0.176304654442877 0.174507380207955
"only" 0.137098262543173 0.317348377997179 0.162388812137958
"was" 0.135340592510568 0.164551010813352 0.186625948277951
"powers" 0.0905200066791461 0.0705218617771509 0.322353910661916
"shall" 0.151159622804011 0.117536436295252 0.142999103225963
"general" 0.129188747396451 0.129290079924777 0.189049661891951
"executive" 0.120400397233427 0.0352609308885755 0.227829079715941
"were" 0.125673407331242 0.176304654442877 0.184202234663952
"public" 0.137977097559475 0.0587682181476258 0.169659952979956
"ought" 0.13973476759208 0.0235072872590503 0.147846530453962
"could" 0.142371272640987 0.0705218617771509 0.123609394313968
"had" 0.115127387135613 0.117536436295252 0.184202234663952
"between" 0.154674962869221 0.0587682181476258 0.0799825492619792
"united" 0.127431077363846 0.117536436295252 0.130880535155966
"time" 0.140613602608382 0.105782792665726 0.0945248309459754
"men" 0.138855932575778 0.305594734367654 0.0557454131219855
"some" 0.114248552119311 0.152797367183827 0.147846530453962
"us" 0.129188747396451 0.282087447108604 0.0775588356479798
"body" 0.13973476759208 0.0587682181476258 0.0872536901039773
"what" 0.128309912380149 0.129290079924777 0.104219685401973
"part" 0.120400397233427 0.0587682181476258 0.118761967085969
"particular" 0.108975542021496 0.0940291490362012 0.133304248769965
"less" 0.106339036972589 0.0705218617771509 0.138151675997964
"each" 0.100187191858472 0.188058298072402 0.128456821541967
"subject" 0.105460201956287 0.0940291490362012 0.128456821541967
"either" 0.118642727200823 0.152797367183827 0.0727114084199811
"he" 0.129188747396451 0.0705218617771509 0.0605928403499842
"first" 0.101944861891077 0.0822755054066761 0.126033107927967
"york" 0.12127923224973 0.0705218617771509 0.0751351220339805
"legislative" 0.0755798114020055 0.0235072872590503 0.208439370803946
"number" 0.087883501630239 0.129290079924777 0.150270244067961
"different" 0.0957930167769605 0.152797367183827 0.118761967085969
"without" 0.09930835684217 0.0822755054066761 0.123609394313968
"two" 0.105460201956287 0.0940291490362012 0.0993722581739742
"convention" 0.0747009763857031 0.152797367183827 0.169659952979956
"necessary" 0.0922776767117509 0.0822755054066761 0.133304248769965
"laws" 0.113369717103008 0.129290079924777 0.0630165539639836
"well" 0.0887623366465413 0.282087447108604 0.0921011173319761
"made" 0.0922776767117509 0.141043723554302 0.109067112629972
"plan" 0.112490882086706 0.0705218617771509 0.0678639811919824
"members" 0.0808528214998198 0.0587682181476258 0.15511767129596
"cases" 0.105460201956287 0.0352609308885755 0.0896774037179767
"legislature" 0.106339036972589 0.0470145745181006 0.0824062628759786
"own" 0.100187191858472 0.0587682181476258 0.0945248309459754
"governments" 0.0694279662878888 0.0822755054066761 0.162388812137958
"too" 0.09930835684217 0.0822755054066761 0.0799825492619792
"much" 0.0966718517932628 0.152797367183827 0.0678639811919824
"senate" 0.101066026874775 0.117536436295252 0.0581691267359849
"when" 0.0966718517932628 0.176304654442877 0.0533216995079861
"even" 0.0949141817606581 0.0470145745181006 0.0775588356479798
"case" 0.083489326548727 0.0705218617771509 0.0945248309459754
"far" 0.083489326548727 0.0822755054066761 0.0921011173319761
"latter" 0.0659126262226792 0.0352609308885755 0.145422816839962
"several" 0.0667914612389816 0.0587682181476258 0.133304248769965
"proper" 0.0843681615650294 0.0940291490362012 0.0751351220339805
"citizens" 0.0790951514672151 0.0470145745181006 0.0945248309459754
"very" 0.063276121173772 0.152797367183827 0.11391453985797
"proposed" 0.0808528214998198 0.0705218617771509 0.0799825492619792
"courts" 0.104581366939984 0.0470145745181006 0.00969485445599748
"law" 0.0861258315976342 0.0117536436295252 0.0678639811919824
"where" 0.0755798114020055 0.0235072872590503 0.0896774037179767
"another" 0.0738221413694007 0.0705218617771509 0.0824062628759786
"rights" 0.0720644713367959 0.0235072872590503 0.0969485445599748
"though" 0.0861258315976342 0.0117536436295252 0.0605928403499842
"foreign" 0.0588819460922601 0.235072872590503 0.0872536901039773
"therefore" 0.0659126262226792 0.164551010813352 0.0824062628759786
"make" 0.0755798114020055 0.152797367183827 0.0557454131219855
"cannot" 0.0729433063530983 0.0822755054066761 0.0751351220339805
"influence" 0.0738221413694007 0.129290079924777 0.0630165539639836
"themselves" 0.0623972861574697 0.0822755054066761 0.101795971787974
"man" 0.0896411716628437 0 0.0412031314379893
"president" 0.083489326548727 0.117536436295252 0.0315082769819918
"good" 0.063276121173772 0.188058298072402 0.0702876948059817
"interests" 0.0606396161248649 0.199811941701928 0.0751351220339805
"former" 0.0562454410433529 0.0587682181476258 0.11391453985797
"greater" 0.0650337912063768 0.0352609308885755 0.0945248309459754
"liberty" 0.0685491312715864 0.0587682181476258 0.0775588356479798
"nations" 0.0597607811085625 0.340855665256229 0.0436268450519887
"common" 0.0703068013041912 0.0352609308885755 0.0751351220339805
"danger" 0.0623972861574697 0.0705218617771509 0.0848299764899779
"whole" 0.0562454410433529 0.129290079924777 0.0896774037179767
"both" 0.051851265961841 0.105782792665726 0.104219685401973
"itself" 0.0711856363204936 0.0117536436295252 0.0702876948059817
"objects" 0.0641549561900744 0.0940291490362012 0.0727114084199811
"provision" 0.0817316565161222 0 0.0436268450519887
"country" 0.0641549561900744 0.164551010813352 0.0557454131219855
"form" 0.0465782558640266 0.0822755054066761 0.121185680699968
"nature" 0.0703068013041912 0.0235072872590503 0.0678639811919824
"being" 0.063276121173772 0.105782792665726 0.065440267577983
"congress" 0.0369110706847004 0.0822755054066761 0.142999103225963
"over" 0.0553666060270505 0.0235072872590503 0.104219685401973
"political" 0.0623972861574697 0.0822755054066761 0.0727114084199811
"system" 0.0694279662878888 0.0470145745181006 0.0605928403499842
"yet" 0.0623972861574697 0.152797367183827 0.0581691267359849
"interest" 0.0650337912063768 0.105782792665726 0.0581691267359849
"necessity" 0.0703068013041912 0.0235072872590503 0.0605928403499842
"place" 0.0641549561900744 0.0705218617771509 0.0678639811919824
"representatives" 0.051851265961841 0 0.11633825347197
"war" 0.0623972861574697 0.235072872590503 0.0387794178239899
"nor" 0.0650337912063768 0.0822755054066761 0.0605928403499842
"course" 0.0729433063530983 0.0352609308885755 0.046050558665988
"force" 0.067670296255284 0.0705218617771509 0.0533216995079861
"court" 0.0843681615650294 0 0.019389708911995
"found" 0.063276121173772 0.0822755054066761 0.0605928403499842
"causes" 0.0694279662878888 0.152797367183827 0.0266608497539931
"peace" 0.0597607811085625 0.141043723554302 0.0557454131219855
"respect" 0.0685491312715864 0.129290079924777 0.0266608497539931
"america" 0.0404264107499099 0.270333803479079 0.0727114084199811
"jurisdiction" 0.0729433063530983 0.0117536436295252 0.0363557042099905
"security" 0.0623972861574697 0.0705218617771509 0.0533216995079861
"little" 0.0659126262226792 0.0470145745181006 0.046050558665988
"many" 0.0456994208477243 0.176304654442877 0.0751351220339805
"among" 0.0404264107499099 0.0352609308885755 0.109067112629972
"single" 0.0571242760596553 0.0235072872590503 0.065440267577983
"situation" 0.0659126262226792 0.0705218617771509 0.0315082769819918
"present" 0.0580031110759577 0.129290079924777 0.0387794178239899
"often" 0.0588819460922601 0.152797367183827 0.0290845633679924
"whether" 0.0421840807825147 0.152797367183827 0.0727114084199811
"judiciary" 0.0421840807825147 0 0.101795971787974
"means" 0.0509724309455386 0.0470145745181006 0.0678639811919824
"object" 0.0483359258966314 0.0705218617771509 0.0702876948059817
"reason" 0.0562454410433529 0.0705218617771509 0.046050558665988
"trial" 0.0659126262226792 0 0.0339319905959912
"however" 0.0509724309455386 0.0587682181476258 0.0605928403499842
"let" 0.0439417508151195 0.129290079924777 0.0630165539639836
"never" 0.051851265961841 0.0470145745181006 0.0581691267359849
"still" 0.0527301009781434 0.0470145745181006 0.0557454131219855
"view" 0.0544877710107481 0.0352609308885755 0.0533216995079861
"extent" 0.0544877710107481 0 0.0581691267359849
"give" 0.0536089359944458 0.0940291490362012 0.0412031314379893
"principles" 0.0430629157988171 0.0235072872590503 0.0824062628759786
"supreme" 0.0571242760596553 0.0117536436295252 0.046050558665988
"independent" 0.047457090880329 0.176304654442877 0.0363557042099905
"majority" 0.0395475757336075 0.0117536436295252 0.0921011173319761
"objection" 0.0536089359944458 0 0.0557454131219855
"right" 0.0544877710107481 0.0352609308885755 0.046050558665988
"confederation" 0.0246073804564669 0 0.133304248769965
"her" 0.0413052457662123 0.0822755054066761 0.0702876948059817
"kind" 0.0685491312715864 0.0470145745181006 0.00242371361399937
"nation" 0.0492147609129338 0.129290079924777 0.0387794178239899
"question" 0.051851265961841 0.0235072872590503 0.0533216995079861
"within" 0.0413052457662123 0.0117536436295252 0.0848299764899779
"do" 0.0509724309455386 0.0587682181476258 0.046050558665988
"now" 0.0536089359944458 0.0470145745181006 0.0412031314379893
"sense" 0.0606396161248649 0.0587682181476258 0.019389708911995
"spirit" 0.0562454410433529 0 0.0436268450519887
"certain" 0.0448205858314219 0.0587682181476258 0.0605928403499842
"circumstances" 0.0527301009781434 0.129290079924777 0.0242371361399937
"out" 0.0553666060270505 0.0352609308885755 0.0363557042099905
"principle" 0.0536089359944458 0.0117536436295252 0.046050558665988
"department" 0.0193343703586526 0.0117536436295252 0.138151675997964
"local" 0.0413052457662123 0.0470145745181006 0.0702876948059817
"conduct" 0.0571242760596553 0.0822755054066761 0.0169659952979956
"degree" 0.0492147609129338 0.0587682181476258 0.0436268450519887
"point" 0.0544877710107481 0.0117536436295252 0.0387794178239899
"treaties" 0.031638060586886 0.352609308885755 0.0315082769819918
"because" 0.0492147609129338 0.0940291490362012 0.0339319905959912
"experience" 0.0404264107499099 0.0940291490362012 0.0581691267359849
"least" 0.0527301009781434 0.0235072872590503 0.0387794178239899
"proportion" 0.0448205858314219 0.0470145745181006 0.0557454131219855
"act" 0.0386687407173051 0.0587682181476258 0.0678639811919824
"also" 0.0307592255705836 0.129290079924777 0.0751351220339805
"always" 0.0544877710107481 0.0940291490362012 0.0169659952979956
"persons" 0.0500935959292362 0.0705218617771509 0.0339319905959912
"him" 0.0571242760596553 0.0235072872590503 0.0218134225259943
"jury" 0.0641549561900744 0 0.00727114084199811
"nothing" 0.0544877710107481 0.0587682181476258 0.0218134225259943
"others" 0.0377899057010027 0.152797367183827 0.0484742722799874
"essential" 0.0386687407173051 0.0117536436295252 0.0727114084199811
"how" 0.0465782558640266 0.105782792665726 0.0315082769819918
"last" 0.0509724309455386 0.0117536436295252 0.0387794178239899
"likely" 0.0500935959292362 0.0235072872590503 0.0387794178239899
"long" 0.0465782558640266 0.0822755054066761 0.0363557042099905
"manner" 0.0456994208477243 0.0822755054066761 0.0363557042099905
"side" 0.0307592255705836 0.0352609308885755 0.0872536901039773
"answer" 0.0544877710107481 0.0117536436295252 0.0242371361399937
"britain" 0.0456994208477243 0.141043723554302 0.0218134225259943
"constitutional" 0.0430629157988171 0.0117536436295252 0.0557454131219855
"important" 0.0369110706847004 0.0470145745181006 0.065440267577983
"legislatures" 0.0413052457662123 0.0235072872590503 0.0581691267359849
"article" 0.0500935959292362 0.0117536436295252 0.0339319905959912
"considered" 0.0430629157988171 0.0470145745181006 0.046050558665988
"equal" 0.0413052457662123 0.0587682181476258 0.0484742722799874
"judges" 0.0509724309455386 0.0117536436295252 0.0315082769819918
"administration" 0.0492147609129338 0.0117536436295252 0.0339319905959912
"community" 0.0597607811085625 0.0117536436295252 0.00484742722799874
"federalist" 0.0448205858314219 0.0587682181476258 0.0363557042099905
"magistrate" 0.0465782558640266 0.0235072872590503 0.0387794178239899
"officers" 0.0333957306194908 0.0235072872590503 0.0751351220339805
"true" 0.0492147609129338 0.0352609308885755 0.0290845633679924
"advantage" 0.0404264107499099 0.0470145745181006 0.0484742722799874
"appointment" 0.0439417508151195 0.0117536436295252 0.046050558665988
"exercise" 0.0395475757336075 0 0.0605928403499842
"happen" 0.0492147609129338 0.0822755054066761 0.0169659952979956
"like" 0.036032235668398 0.117536436295252 0.046050558665988
"propriety" 0.0492147609129338 0.0352609308885755 0.0266608497539931
"publius" 0.0448205858314219 0.0587682181476258 0.0339319905959912
"articles" 0.0246073804564669 0.0235072872590503 0.0945248309459754
"constitutions" 0.0386687407173051 0 0.0605928403499842
"just" 0.0342745656357932 0.152797367183827 0.0412031314379893
"thing" 0.0553666060270505 0.0117536436295252 0.0121185680699969
"commerce" 0.0421840807825147 0.0470145745181006 0.0387794178239899
"military" 0.0483359258966314 0.0117536436295252 0.0266608497539931
"whose" 0.0421840807825147 0.0470145745181006 0.0363557042099905
"consideration" 0.0421840807825147 0.0940291490362012 0.0242371361399937
"office" 0.0509724309455386 0.0235072872590503 0.0145422816839962
"able" 0.0377899057010027 0.0940291490362012 0.0339319905959912
"confederacy" 0.0404264107499099 0.0587682181476258 0.0339319905959912
"equally" 0.0386687407173051 0.0587682181476258 0.0387794178239899
"given" 0.0342745656357932 0.141043723554302 0.0339319905959912
"society" 0.0413052457662123 0 0.0436268450519887
"favor" 0.0395475757336075 0 0.046050558665988
"large" 0.0404264107499099 0.0352609308885755 0.0363557042099905
"natural" 0.0483359258966314 0.0470145745181006 0.0121185680699969
"become" 0.0342745656357932 0.105782792665726 0.0363557042099905
"mode" 0.0439417508151195 0.0352609308885755 0.0242371361399937
"few" 0.031638060586886 0.0235072872590503 0.0581691267359849
"hands" 0.0351534006520956 0 0.0533216995079861
"considerations" 0.0290015555379789 0.0587682181476258 0.0557454131219855
"head" 0.0386687407173051 0.0352609308885755 0.0339319905959912
"sufficient" 0.0342745656357932 0.0235072872590503 0.0484742722799874
"take" 0.0421840807825147 0.0117536436295252 0.0290845633679924
"appear" 0.0404264107499099 0.0587682181476258 0.0218134225259943
"best" 0.0386687407173051 0.105782792665726 0.0169659952979956
"civil" 0.0465782558640266 0 0.0169659952979956
"effect" 0.0298803905542812 0 0.0630165539639836
"making" 0.0404264107499099 0.0822755054066761 0.0169659952979956
"parties" 0.0298803905542812 0.0235072872590503 0.0581691267359849
"then" 0.0325168956031884 0.0470145745181006 0.046050558665988
"alone" 0.036032235668398 0 0.0436268450519887
"defense" 0.0377899057010027 0.0470145745181006 0.0290845633679924
"militia" 0.0386687407173051 0.0705218617771509 0.0218134225259943
"purpose" 0.0421840807825147 0.0352609308885755 0.019389708911995
"seems" 0.0298803905542812 0.0352609308885755 0.0533216995079861
"truth" 0.0395475757336075 0.0235072872590503 0.0290845633679924
"contrary" 0.0404264107499099 0.0235072872590503 0.0242371361399937
"departments" 0.0175767003260478 0.0117536436295252 0.0896774037179767
"established" 0.0307592255705836 0.0235072872590503 0.0508979858939868
"here" 0.0290015555379789 0.0117536436295252 0.0581691267359849
"measures" 0.0272438855053741 0.0822755054066761 0.0484742722799874
"regard" 0.0404264107499099 0.0235072872590503 0.0242371361399937
"republican" 0.0246073804564669 0 0.0727114084199811
"require" 0.036032235668398 0.0235072872590503 0.0363557042099905
"evident" 0.0421840807825147 0.0352609308885755 0.0145422816839962
"house" 0.0342745656357932 0 0.0436268450519887
"neither" 0.0333957306194908 0.0352609308885755 0.0387794178239899
"practice" 0.0351534006520956 0 0.0412031314379893
"revenue" 0.0421840807825147 0 0.0218134225259943
"three" 0.0290015555379789 0.141043723554302 0.0290845633679924
"duties" 0.0439417508151195 0.0117536436295252 0.0121185680699969
"parts" 0.0263650504890717 0.0822755054066761 0.046050558665988
"perhaps" 0.0377899057010027 0.0235072872590503 0.0266608497539931
"support" 0.0386687407173051 0.0117536436295252 0.0266608497539931
"whatever" 0.0325168956031884 0.0940291490362012 0.0266608497539931
"justice" 0.0298803905542812 0.0470145745181006 0.0412031314379893
"taxation" 0.0439417508151195 0 0.0121185680699969
"confidence" 0.031638060586886 0.0587682181476258 0.0315082769819918
"distinct" 0.0228497104238621 0.0940291490362012 0.0484742722799874
"fact" 0.0413052457662123 0.0117536436295252 0.0145422816839962
"human" 0.0342745656357932 0.0352609308885755 0.0290845633679924
"instances" 0.0290015555379789 0.0235072872590503 0.046050558665988
"numerous" 0.0325168956031884 0 0.0412031314379893
"render" 0.0298803905542812 0.0235072872590503 0.0436268450519887
"council" 0.031638060586886 0 0.0412031314379893
"individuals" 0.0351534006520956 0 0.0315082769819918
"instance" 0.0369110706847004 0 0.0266608497539931
"possess" 0.031638060586886 0.0352609308885755 0.0339319905959912
"possible" 0.0369110706847004 0.0235072872590503 0.0218134225259943
"safety" 0.0298803905542812 0.105782792665726 0.0242371361399937
"views" 0.0333957306194908 0 0.0363557042099905
"whom" 0.0298803905542812 0.117536436295252 0.0218134225259943
"army" 0.036032235668398 0 0.0266608497539931
"considerable" 0.0404264107499099 0.0117536436295252 0.0121185680699969
"duty" 0.0386687407173051 0.0117536436295252 0.0169659952979956
"judicial" 0.0307592255705836 0.0352609308885755 0.0339319905959912
"resources" 0.0351534006520956 0.0587682181476258 0.0169659952979956
"better" 0.0351534006520956 0.0117536436295252 0.0242371361399937
"further" 0.0290015555379789 0 0.0436268450519887
"hamilton" 0.0448205858314219 0 0
"immediate" 0.0342745656357932 0.0235072872590503 0.0242371361399937
"improper" 0.031638060586886 0.0235072872590503 0.0315082769819918
"once" 0.0342745656357932 0.0117536436295252 0.0266608497539931
"period" 0.0263650504890717 0.0470145745181006 0.0412031314379893
"rule" 0.0395475757336075 0 0.0145422816839962
"already" 0.036032235668398 0.0117536436295252 0.019389708911995
"branch" 0.0281227205216765 0 0.0436268450519887
"does" 0.0272438855053741 0.0235072872590503 0.0412031314379893
"ever" 0.0263650504890717 0.0822755054066761 0.0315082769819918
"execution" 0.0386687407173051 0 0.0145422816839962
"matter" 0.0421840807825147 0 0.00484742722799874
"opinion" 0.0333957306194908 0.0705218617771509 0.0145422816839962
"said" 0.036032235668398 0 0.0218134225259943
"small" 0.0263650504890717 0.0117536436295252 0.046050558665988
"use" 0.0351534006520956 0.0117536436295252 0.0218134225259943
"weight" 0.0307592255705836 0.0235072872590503 0.0315082769819918
"character" 0.0237285454401645 0.0235072872590503 0.0484742722799874
"opposition" 0.0333957306194908 0 0.0266608497539931
"party" 0.0281227205216765 0.0470145745181006 0.0315082769819918
"result" 0.0325168956031884 0.0235072872590503 0.0242371361399937
"attention" 0.0228497104238621 0.117536436295252 0.0290845633679924
"find" 0.0210920403912573 0.0822755054066761 0.0412031314379893
"free" 0.0210920403912573 0.0705218617771509 0.0436268450519887
"order" 0.0281227205216765 0.0352609308885755 0.0315082769819918
"provisions" 0.0272438855053741 0 0.0412031314379893
"relation" 0.0307592255705836 0.0235072872590503 0.0266608497539931
"suppose" 0.031638060586886 0.0470145745181006 0.019389708911995
"admit" 0.031638060586886 0.0352609308885755 0.019389708911995
"importance" 0.0237285454401645 0.105782792665726 0.0266608497539931
"policy" 0.0263650504890717 0.0940291490362012 0.0218134225259943
"taken" 0.0281227205216765 0.0235072872590503 0.0315082769819918
"times" 0.0342745656357932 0.0235072872590503 0.0145422816839962
"appears" 0.0219708754075597 0.0587682181476258 0.0387794178239899
"confederacies" 0.020213205374955 0.211565585331453 0.0121185680699969
"my" 0.0342745656357932 0.0352609308885755 0.00969485445599748
"offices" 0.0298803905542812 0.0117536436295252 0.0266608497539931
"provided" 0.0281227205216765 0.0352609308885755 0.0266608497539931
"requisite" 0.031638060586886 0.0235072872590503 0.019389708911995
"second" 0.0246073804564669 0.0235072872590503 0.0387794178239899
"supposition" 0.0333957306194908 0 0.019389708911995
"taxes" 0.0351534006520956 0 0.0145422816839962
"trust" 0.0333957306194908 0.0117536436295252 0.0169659952979956
"armies" 0.0298803905542812 0.0352609308885755 0.019389708911995
"dangerous" 0.0272438855053741 0 0.0339319905959912
"having" 0.0281227205216765 0.0587682181476258 0.019389708911995
"operation" 0.0290015555379789 0.0117536436295252 0.0266608497539931
"principal" 0.0307592255705836 0 0.0242371361399937
"property" 0.0281227205216765 0.0117536436295252 0.0290845633679924
"republic" 0.0193343703586526 0 0.0557454131219855
"before" 0.0272438855053741 0 0.0315082769819918
"discretion" 0.0290015555379789 0.0117536436295252 0.0242371361399937
"done" 0.031638060586886 0.0235072872590503 0.0145422816839962
"establishment" 0.0228497104238621 0 0.0436268450519887
"existence" 0.031638060586886 0.0117536436295252 0.0169659952979956
"hand" 0.0237285454401645 0.0235072872590503 0.0363557042099905
"person" 0.0290015555379789 0 0.0266608497539931
"personal" 0.0281227205216765 0.0352609308885755 0.0218134225259943
"rather" 0.0263650504890717 0 0.0339319905959912
"seem" 0.0254862154727693 0.0587682181476258 0.0242371361399937
"want" 0.0298803905542812 0.0470145745181006 0.0145422816839962
"choice" 0.031638060586886 0.0117536436295252 0.0145422816839962
"consent" 0.0228497104238621 0.0587682181476258 0.0290845633679924
"end" 0.0263650504890717 0 0.0315082769819918
"supposed" 0.0325168956031884 0 0.0145422816839962
"according" 0.0175767003260478 0 0.0533216995079861
"acts" 0.020213205374955 0.0352609308885755 0.0387794178239899
"clause" 0.0325168956031884 0 0.0121185680699969
"concerning" 0.0246073804564669 0.0470145745181006 0.0242371361399937
"councils" 0.0237285454401645 0.0117536436295252 0.0339319905959912
"easy" 0.0298803905542812 0.0587682181476258 0.00727114084199811
"election" 0.0272438855053741 0 0.0266608497539931
"entire" 0.0254862154727693 0.0117536436295252 0.0290845633679924
"establishments" 0.0272438855053741 0 0.0266608497539931
"forms" 0.015819030293443 0.0117536436295252 0.0557454131219855
"founded" 0.0228497104238621 0.0235072872590503 0.0339319905959912
"judgment" 0.0254862154727693 0.0470145745181006 0.0218134225259943
"money" 0.0210920403912573 0.0235072872590503 0.0387794178239899
"popular" 0.0228497104238621 0.0235072872590503 0.0339319905959912
"years" 0.0184555353423502 0.0352609308885755 0.0436268450519887
"class" 0.0246073804564669 0 0.0315082769819918
"difficulty" 0.0281227205216765 0.0117536436295252 0.019389708911995
"existing" 0.0166978653097454 0 0.0533216995079861
"faction" 0.020213205374955 0 0.0436268450519887
"himself" 0.0298803905542812 0 0.0169659952979956
"objections" 0.0228497104238621 0.0117536436295252 0.0339319905959912
"observations" 0.0272438855053741 0.0117536436295252 0.0218134225259943
"occasion" 0.0254862154727693 0.0470145745181006 0.019389708911995
"seen" 0.0193343703586526 0 0.046050558665988
"sometimes" 0.0325168956031884 0.0235072872590503 0.00484742722799874
"source" 0.0228497104238621 0 0.0363557042099905
"trade" 0.0228497104238621 0.0705218617771509 0.0218134225259943
"chief" 0.0246073804564669 0.0235072872590503 0.0242371361399937
"disposition" 0.0272438855053741 0.0117536436295252 0.019389708911995
"duration" 0.0281227205216765 0.0235072872590503 0.0145422816839962
"extensive" 0.020213205374955 0.0352609308885755 0.0339319905959912
"four" 0.0228497104238621 0.129290079924777 0.00727114084199811
"generally" 0.0263650504890717 0.0352609308885755 0.0169659952979956
"land" 0.0298803905542812 0.0235072872590503 0.00969485445599748
"probable" 0.0237285454401645 0.0352609308885755 0.0242371361399937
"purposes" 0.0175767003260478 0.0587682181476258 0.0363557042099905
"reasons" 0.0254862154727693 0.0470145745181006 0.0169659952979956
"remain" 0.0254862154727693 0.0117536436295252 0.0242371361399937
"see" 0.0254862154727693 0.0822755054066761 0.00969485445599748
"absolute" 0.0237285454401645 0.0352609308885755 0.0218134225259943
"advantages" 0.0254862154727693 0.0235072872590503 0.019389708911995
"authorities" 0.0263650504890717 0 0.0218134225259943
"change" 0.0193343703586526 0.0235072872590503 0.0363557042099905
"europe" 0.0184555353423502 0.0352609308885755 0.0363557042099905
"idea" 0.0281227205216765 0.0352609308885755 0.00969485445599748
"individual" 0.015819030293443 0.0352609308885755 0.0436268450519887
"moment" 0.0237285454401645 0.0117536436295252 0.0266608497539931
"real" 0.0228497104238621 0.0117536436295252 0.0290845633679924
"rules" 0.0219708754075597 0 0.0339319905959912
"strength" 0.0237285454401645 0.0705218617771509 0.0145422816839962
