"HAMILTON_federalist1" "HAMILTON_federalist11" "HAMILTON_federalist12" "HAMILTON_federalist13" "HAMILTON_federalist15" "HAMILTON_federalist16" "HAMILTON_federalist17" "HAMILTON_federalist21" "HAMILTON_federalist22" "HAMILTON_federalist23" "HAMILTON_federalist24" "HAMILTON_federalist25" "HAMILTON_federalist26" "HAMILTON_federalist27" "HAMILTON_federalist28" "HAMILTON_federalist29" "HAMILTON_federalist30" "HAMILTON_federalist31" "HAMILTON_federalist32" "HAMILTON_federalist33" "HAMILTON_federalist34" "HAMILTON_federalist35" "HAMILTON_federalist36" "HAMILTON_federalist59" "HAMILTON_federalist6" "HAMILTON_federalist60" "HAMILTON_federalist61" "HAMILTON_federalist65" "HAMILTON_federalist66" "HAMILTON_federalist67" "HAMILTON_federalist68" "HAMILTON_federalist69" "HAMILTON_federalist7" "HAMILTON_federalist70" "HAMILTON_federalist71" "HAMILTON_federalist72" "HAMILTON_federalist73" "HAMILTON_federalist74" "HAMILTON_federalist75" "HAMILTON_federalist76" "HAMILTON_federalist77" "HAMILTON_federalist78" "HAMILTON_federalist79" "HAMILTON_federalist8" "HAMILTON_federalist80" "HAMILTON_federalist81" "HAMILTON_federalist82" "HAMILTON_federalist83" "HAMILTON_federalist84" "HAMILTON_federalist85" "HAMILTON_federalist9" "JAY_federalist2" "JAY_federalist3" "JAY_federalist4" "JAY_federalist5" "JAY_federalist64" "MADISON_federalist10" "MADISON_federalist14" "MADISON_federalist37" "MADISON_federalist38" "MADISON_federalist39" "MADISON_federalist40" "MADISON_federalist41" "MADISON_federalist42" "MADISON_federalist43" "MADISON_federalist44" "MADISON_federalist45" "MADISON_federalist46" "MADISON_federalist47" "MADISON_federalist48" "MADISON_federalist58"
"which" 1.10837438423645 0.989315393747527 1.05359596885021 1.11675126903553 1.77190721649485 1.06537530266344 1.50659133709981 0.993541977148535 1.00699300699301 1.69306389950847 0.74147305981216 0.745156482861401 0.873180873180873 1.28032345013477 0.858895705521472 0.710795202132386 1.00654252642174 1.13830392714855 1.52317880794702 1.28579777907656 1.20643431635389 0.967458223394899 0.977906555595799 0.929272070211668 1.02689486552567 0.70298769771529 0.774693350548741 1.17704757233938 0.654164849542085 1.56062424969988 0.984251968503937 0.667556742323097 1.03225806451613 0.863723608445297 1.07709750566893 0.969461948618517 0.836820083682008 1.0689990281827 0.86734693877551 0.904782421370099 0.750375187593797 1.07456854444806 1.14613180515759 1.25361620057859 1.77993527508091 1.04272634791455 1.15606936416185 1.34950461223095 1.26250595521677 1.5695067264574 1.24440019910403 0.652818991097923 0.750341064120055 0.602409638554217 0.733675715333822 0.60111635895234 1.28797886393659 1.84757505773672 1.60642570281124 0.776351149596895 1.02739726027397 1.01639344262295 1.00981767180926 0.963941449482328 0.985507246376812 1.02845389098389 0.792540792540793 0.871872630780895 0.794223826714801 1.48148148148148 1.28022759601707
"as" 0.61576354679803 0.831024930747922 0.87036188731104 0.812182741116751 0.483247422680412 0.920096852300242 0.188323917137476 0.894187779433681 0.727272727272727 1.31075914800655 0.642609985170539 1.19225037257824 0.748440748440748 0.741239892183288 0.613496932515337 1.15504220346513 1.10719677906392 1.13830392714855 0.264900662251656 0.818234950321449 0.893655049151028 0.967458223394899 1.2676566461427 0.826019617965927 0.929095354523227 0.966608084358524 1.16204002582311 0.882785679254537 0.915830789358918 0.900360144057623 1.11548556430446 0.534045393858478 0.817204301075269 0.703774792066539 0.963718820861678 0.775569558894813 0.460251046025105 0.971817298347911 0.86734693877551 0.775527789745799 0.900450225112556 0.976880494952784 0.477554918815664 0.77145612343298 0.809061488673139 1.16988809766022 0.963391136801541 0.922446190638879 0.833730347784659 0.747384155455904 0.995520159283225 0.949554896142433 1.63710777626194 1.20481927710843 0.220102714600147 1.67453842851009 0.693527080581242 1.10854503464203 1.05878057685287 0.865930128396536 1.25570776255708 1.08196721311475 0.925666199158485 0.785433773652267 1.1304347826087 0.959890298251628 1.07226107226107 0.796057619408643 0.72202166064982 1.00529100529101 1.04314841156946
"by" 0.862068965517241 0.791452314998021 0.687127805771874 0.50761421319797 1.03092783505155 0.62953995157385 0.564971751412429 1.09289617486339 0.839160839160839 0.600764609503004 0.692041522491349 1.09289617486339 0.873180873180873 0.943396226415094 0.429447852760736 0.444247001332741 0.704579768495219 0.512236767216847 0.662251655629139 0.818234950321449 0.178731009830206 0.439753737906772 0.760593987685621 0.877645844088797 0.537897310513447 0.922671353251318 0.322788896061975 0.784698381559588 0.56694286960314 0.840336134453782 0.78740157480315 0.734312416555407 1.20430107526882 0.479846449136276 0.850340136054422 0.824042656325739 1.12970711297071 0.194363459669582 0.816326530612245 1.0771219302025 0.80040020010005 0.81406707912732 0.382043935052531 0.530376084860174 0.52588996763754 0.81383519837233 0.256904303147078 1.41783395968569 0.738446879466413 0.411061285500747 0.647088103534097 0.593471810089021 1.22783083219645 0.843373493975904 0.733675715333822 1.2881064834693 1.28797886393659 0.831408775981524 1.09529025191676 1.10480740519558 1.25570776255708 1.80327868852459 0.925666199158485 1.14244912531239 1.39130434782609 0.959890298251628 0.512820512820513 0.796057619408643 1.51624548736462 1.48148148148148 1.04314841156946
"this" 0.862068965517241 0.949742777997626 0.778744846541457 0.50761421319797 0.77319587628866 0.871670702179177 0.69052102950408 0.844510680576254 0.867132867132867 0.764609503003823 1.13692535837865 0.993541977148535 0.623700623700624 0.606469002695418 0.429447852760736 0.621945801865837 0.85556114745848 0.739897552646557 1.05960264900662 1.05201636469901 0.625558534405719 0.615655233069481 0.833031510322347 0.929272070211668 0.537897310513447 0.746924428822496 0.903808908973531 0.882785679254537 0.915830789358918 0.720288115246098 0.853018372703412 1.06809078771696 0.946236559139785 0.511836212412028 0.453514739229025 0.484730974309258 1.12970711297071 0.777453838678329 0.714285714285714 0.775527789745799 0.850425212606303 0.846629762292413 0.764087870105062 0.916104146576664 0.566343042071197 1.11902339776195 0.899165061014772 1.02494021182098 0.857551214864221 0.485799701046338 0.746640119462419 0.830860534124629 0.409276944065484 0.0602409638554217 0.440205429200293 0.47230571060541 0.363276089828269 0.600461893764434 0.620664476086163 0.716631830397134 0.799086757990868 0.590163934426229 0.785413744740533 0.642627632988218 0.63768115942029 0.85704490915324 0.233100233100233 0.341167551175133 0.866425992779783 0.740740740740741 0.663821716453295
"would" 0.123152709359606 1.97863078749505 1.00778744846541 1.42131979695431 0.418814432989691 1.74334140435835 0.753295668549906 0.596125186289121 0.559440559440559 0.218459858001092 1.23578843302027 1.04321907600596 0.665280665280665 0.202156334231806 0.736196319018405 0.844069302532208 1.10719677906392 0.284575981787137 1.52317880794702 0.876680303915839 0.893655049151028 0.703605980650836 0.181093806591815 0.826019617965927 0.293398533007335 1.23022847100176 1.09748224661072 1.22609122118686 0.436109899694723 0.300120048019208 0.459317585301837 0.901201602136182 2.19354838709677 0.351887396033269 0.90702947845805 1.21182743577315 1.21338912133891 0.87463556851312 1.37755102040816 1.2063765618268 1.6008004002001 0.618690980136763 0.477554918815664 1.30183220829315 0.40453074433657 0.534079348931841 0.706486833654464 0.819952169456782 0.428775607432111 0.224215246636771 0.39820806371329 0.29673590504451 0.136425648021828 1.02409638554217 2.71460014673514 0.30055817947617 0.198150594451783 0.23094688221709 0.255567725447244 0.447894893998208 0.30441400304414 0.19672131147541 0.252454417952314 0.535523027490182 0.347826086956522 0.994172094617758 0.512820512820513 1.09931766489765 0.144404332129964 0.158730158730159 0.568990042674253
"have" 0.61576354679803 0.593589236248516 0.59551076500229 0.406091370558376 0.998711340206186 0.581113801452784 0.251098556183302 0.447093889716841 0.391608391608392 0.600764609503004 0.593178447849728 0.546448087431694 0.665280665280665 0.336927223719677 0.674846625766871 0.310972900932919 0.553598389531958 0.626067159931702 0.33112582781457 0.75978959672706 0.714924039320822 0.395778364116095 0.833031510322347 1.13577697470315 1.32029339853301 0.351493848857645 0.774693350548741 0.833742030407062 0.56694286960314 1.26050420168067 0.918635170603675 0.567423230974633 0.989247311827957 0.927703134996801 0.510204081632653 0.339311682016481 0.627615062761506 0.485908649173955 0.816326530612245 0.861697544161999 0.650325162581291 0.618690980136763 0.573065902578797 0.867888138862102 0.768608414239482 0.584944048830112 0.449582530507386 0.922446190638879 0.643163411148166 0.85949177877429 1.19462419113987 1.00890207715134 0.477489768076398 0.542168674698795 0.0733675715333822 0.81580077286389 0.528401585204756 0.785219399538106 0.94925155166119 0.627052851597492 0.114155251141553 0.852459016393443 0.729312762973352 0.714030703320243 0.608695652173913 1.13129928008228 0.792540792540793 0.568612585291888 0.505415162454874 0.582010582010582 0.85348506401138
"or" 0.369458128078818 0.474871388998813 0.320659642693541 0.304568527918782 1.22422680412371 0.823244552058111 0.816070307595731 1.04321907600596 0.587412587412587 0.436919716002185 0.593178447849728 0.745156482861401 0.498960498960499 0.943396226415094 0.49079754601227 0.75521990226566 1.00654252642174 0.739897552646557 0.728476821192053 0.701344243132671 0.536193029490617 0.527704485488127 1.01412531691416 0.361383582860093 0.929095354523227 0.834797891036907 0.516462233699161 0.882785679254537 0.523331879633668 0.300120048019208 0.393700787401575 0.467289719626168 0.43010752688172 0.703774792066539 0.963718820861678 0.775569558894813 1.00418410041841 1.16618075801749 0.459183673469388 1.1202068074106 0.450225112556278 0.618690980136763 0.382043935052531 0.819672131147541 0.889967637540453 0.534079348931841 0.834938985228003 0.444140758455757 0.500238208670796 0.448430493273543 0.547536087605774 0.593471810089021 2.18281036834925 1.44578313253012 0.733675715333822 0.60111635895234 0.726552179656539 0.508083140877598 0.474625775830595 0.50761421319797 0.532724505327245 0.327868852459016 0.5890603085554 0.535523027490182 0.608695652173913 1.26842646554679 0.372960372960373 0.530705079605762 0.649819494584838 0.582010582010582 0.521574205784732
"for" 0.800492610837438 0.75187969924812 0.366468163078333 0.304568527918782 0.612113402061856 0.435835351089588 0.753295668549906 0.29806259314456 0.587412587412587 0.928454396504642 0.543746910528917 0.546448087431694 0.914760914760915 0.471698113207547 0.98159509202454 0.75521990226566 1.157523905385 0.341491178144565 0.264900662251656 0.526008182349503 1.16175156389634 0.527704485488127 0.434625135820355 0.671140939597315 0.684596577017115 0.571177504393673 1.09748224661072 0.784698381559588 0.741386829481029 0.660264105642257 1.0498687664042 0.600801068090788 0.645161290322581 0.767754318618042 0.566893424036281 0.678623364032962 0.627615062761506 0.87463556851312 0.408163265306122 0.517018526497199 0.950475237618809 0.488440247476392 1.43266475644699 0.433944069431051 0.485436893203884 0.534079348931841 0.256904303147078 0.666211137683635 0.643163411148166 0.411061285500747 0.547536087605774 0.830860534124629 0.818553888130969 0.783132530120482 0.586940572267058 0.60111635895234 0.59445178335535 0.92378752886836 0.438116100766703 0.627052851597492 0.570776255707763 0.754098360655738 1.00981767180926 0.785433773652267 0.840579710144927 0.685635927322592 0.606060606060606 0.416982562547384 0.252707581227437 0.846560846560847 0.616405879563774
"will" 1.53940886699507 0.672734467748318 0.503893724232707 0.913705583756345 0.612113402061856 0.242130750605327 0.753295668549906 0.29806259314456 0.307692307692308 0.819224467504096 0.395452298566485 0.496770988574267 0.457380457380457 2.2911051212938 0.797546012269939 0.488671701466015 0.553598389531958 0.341491178144565 0.198675496688742 0.526008182349503 0.714924039320822 0.923482849604222 0.977906555595799 1.08415074858028 0.293398533007335 0.922671353251318 0.451904454486766 1.42226581657675 1.00305276929786 0.180072028811525 0.853018372703412 0.200267022696929 0.043010752688172 0.351887396033269 0.396825396825397 0.339311682016481 0.794979079497908 0.0971817298347911 0.306122448979592 1.1632916846187 0.500250125062531 0.455877564311299 0.668576886341929 0.530376084860174 0.647249190938511 0.762970498474059 0.449582530507386 0.409976084728391 0.905192949023344 0.597907324364723 0.348432055749129 0.118694362017804 1.63710777626194 0.903614457831325 0.440205429200293 1.07342206955775 0.990752972258917 1.20092378752887 0.365096750638919 0.358315915198567 0.570776255707763 0.229508196721311 0.701262272089762 0.214209210996073 0.550724637681159 0.342817963661296 1.49184149184149 1.51630022744503 0.144404332129964 0.582010582010582 1.8018018018018
"not" 0.862068965517241 0.791452314998021 0.274851122308749 0.50761421319797 0.515463917525773 0.968523002421308 0.251098556183302 0.397416790859414 0.699300699300699 0.600764609503004 0.642609985170539 0.397416790859414 0.956340956340956 0.134770889487871 0.49079754601227 0.399822301199467 0.352289884247609 0.682982356289129 0.993377483443709 0.75978959672706 0.670241286863271 0.835532102022867 0.507062658457081 0.671140939597315 0.78239608801956 0.571177504393673 0.516462233699161 0.882785679254537 0.959441779328391 0.78031212484994 0.721784776902887 0.367156208277704 0.602150537634409 0.479846449136276 0.396825396825397 0.630150266602036 0.543933054393305 0.388726919339164 0.612244897959184 0.603188280913399 0.300150075037519 0.58612829697167 0.764087870105062 0.578592092574735 0.606796116504854 0.661241098677518 0.834938985228003 0.614964127092586 0.714626012386851 0.747384155455904 0.647088103534097 0.593471810089021 0.886766712141883 0.843373493975904 0.586940572267058 0.8587376556462 0.462351387054161 0.600461893764434 0.693683826213947 0.955509107196178 0.837138508371385 0.622950819672131 0.504908835904628 0.785433773652267 0.753623188405797 0.548508741858073 0.466200466200466 0.758150113722517 0.433212996389892 0.740740740740741 0.711237553342816
"from" 0.677339901477833 0.75187969924812 0.916170407695831 0.50761421319797 0.708762886597938 0.581113801452784 0.313873195229127 0.794833581718828 0.671328671328671 0.382304751501912 0.543746910528917 0.645802285146547 0.457380457380457 0.404312668463612 0.368098159509202 0.621945801865837 0.452944136889784 0.626067159931702 0.662251655629139 0.584453535943892 0.580875781948168 0.351802990325418 0.833031510322347 0.671140939597315 0.733496332518337 0.571177504393673 0.581020012911556 0.637567435017165 0.523331879633668 0.360144057623049 0.78740157480315 0.433911882510013 0.516129032258065 0.607805502239283 0.90702947845805 0.727096461463888 0.585774058577406 0.388726919339164 0.510204081632653 0.560103403705299 0.700350175087544 0.911755128622599 0.764087870105062 0.482160077145612 0.323624595469256 0.534079348931841 0.963391136801541 0.392893747864708 0.500238208670796 0.373692077727952 0.348432055749129 0.29673590504451 1.09140518417462 0.542168674698795 0.880410858400587 0.55817947617003 0.429326287978864 0.600461893764434 0.766703176341731 0.656912511197372 0.875190258751903 0.557377049180328 0.61711079943899 0.392716886826134 0.173913043478261 0.342817963661296 0.41958041958042 0.416982562547384 0.469314079422383 0.687830687830688 0.474158368895211
